p P_flow <d_min> <s_max> s_ave 
0.1 0 0.0 4.728571428571429 1.2495060092419632 
0.2 0 0.0 9.657142857142857 1.6227386150167622 
0.30000000000000004 0 0.0 18.571428571428573 2.30500204392959 
0.4 0 0.0 43.51428571428571 3.6123613655966853 
0.5 0 0.0 131.02857142857144 6.927642019917031 
0.6 47 52.785714285714285 825.1142857142858 19.15679849294742 
0.7 70 62.357142857142854 1684.5714285714287 69.06326708925688 
0.7999999999999999 70 54.6 1992.8428571428572 386.55046536796544 
0.8999999999999999 70 50.01428571428571 2250.457142857143 1837.909047619048 
0.9999999999999999 70 49.0 2500.0 2500.0 
